🕴,Person in Suit Levitating,西装革履的人
🧗,Person Climbing,攀登者
🧗‍♂️,Man Climbing,男子攀爬
🧗‍♀️,Woman Climbing,女子攀爬
🤺,Person Fencing,人员围栏
🏇,Horse Racing,赛马
⛷,Skier,滑雪者
🏂,Snowboarder,单板滑雪者
🏌,Person Golfing,打高尔夫的人
🏌️‍♂️,Man Golfing,男子高尔夫
🏌️‍♀️,Woman Golfing,女子高尔夫
🏄,Person Surfing,人性化冲浪
🏄‍♂️,Man Surfing,男子冲浪
🏄‍♀️,Woman Surfing,女人冲浪
🚣,Person Rowing Boat,人员划船
🚣‍♂️,Man Rowing Boat,男子划船
🚣‍♀️,Woman Rowing Boat,女子划船
🏊,Person Swimming,游泳的人
🏊‍♂️,Man Swimming,男子游泳
🏊‍♀️,Woman Swimming,女子游泳
⛹,Person Bouncing Ball,人物弹跳球
⛹️‍♂️,Man Bouncing Ball,男子弹跳球
⛹️‍♀️,Woman Bouncing Ball,女子弹跳球
🏋,Person Lifting Weights,举重人员
🏋️‍♂️,Man Lifting Weights,男子举重
🏋️‍♀️,Woman Lifting Weights,女子举重
🚴,Person Biking,骑自行车的人
🚴‍♂️,Man Biking,男子骑自行车
🚴‍♀️,Woman Biking,女子骑车
🚵,Person Mountain Biking,个人山地自行车
🚵‍♂️,Man Mountain Biking,男子山地自行车
🚵‍♀️,Woman Mountain Biking,女子山地自行车
🤸,Person Cartwheeling,人肉翻滚
🤸‍♂️,Man Cartwheeling,男子翻筋斗
🤸‍♀️,Woman Cartwheeling,女人翻筋斗
🤼,People Wrestling,摔跤的人
🤼‍♂️,Men Wrestling,男子摔跤
🤼‍♀️,Women Wrestling,女子摔跤
🤽,Person Playing Water Polo,打水球的人
🤽‍♂️,Man Playing Water Polo,男人打水球
🤽‍♀️,Woman Playing Water Polo,女人打水球
🤾,Person Playing Handball,打手球的人
🤾‍♂️,Man Playing Handball,男子打手球
🤾‍♀️,Woman Playing Handball,女人打手球
🤹,Person Juggling,人员杂耍
🤹‍♂️,Man Juggling,男子杂耍
🤹‍♀️,Woman Juggling,女子杂耍
🧘,Person in Lotus Position,莲花职位的人
🧘‍♂️,Man in Lotus Position,蓮花位置的男人
🧘‍♀️,Woman in Lotus Position,女人在莲花位置
🎪,Circus Tent,马戏团帐篷
🛹,Skateboard,滑板
🛶,Canoe,独木舟
🎗,Reminder Ribbon,提醒丝带
🎟,Admission Tickets,门票
🎫,Ticket,票务
🎖,Military Medal,军事勋章
🏆,Trophy,奖杯
🏅,Sports Medal,运动奖章
🥇,1st Place Medal,奖牌第一名
🥈,2nd Place Medal,第二名奖牌
🥉,3rd Place Medal,第三名奖牌
⚽,Soccer Ball,足球
⚾,Baseball,棒球
🥎,Softball,垒球
🏀,Basketball,篮球
🏐,Volleyball,排球
🏈,American Football,美式足球
🏉,Rugby Football,橄榄球
🎾,Tennis,网球
🥏,Flying Disc,飞碟
🎳,Bowling,保龄球
🏏,Cricket Game,板球游戏
🏑,Field Hockey,野外曲棍球
🏒,Ice Hockey,冰球
🥍,Lacrosse,长曲棍球
🏓,Ping Pong,乒乓球
🏸,Badminton,羽毛球
🥊,Boxing Glove,拳击手套
🥋,Martial Arts Uniform,武术服
🥅,Goal Net,进球网
⛳,Flag in Hole,孔中旗
⛸,Ice Skate,溜冰鞋
🎣,Fishing Pole,钓鱼竿
🎽,Running Shirt,跑步衫
🎿,Skis,滑雪板
🛷,Sled,雪橇
🥌,Curling Stone,卷发石
🎯,Direct Hit,直击
🎱,Pool 8 Ball,桌球8球
🎮,Video Game,电子游戏
🎰,Slot Machine,老虎机
🎲,Game Die,游戏模具
🧩,Puzzle Piece,拼图
♟ ,hess Pawn,赫斯典当
🎭,Performing Arts,表演艺术
🎨,Artist Palette,艺术家调色板
🧵,Thread,主题
🧶,Yarn,纱线
🎼,Musical Score,音乐谱
🎤,Microphone,麦克风
🎧,Headphone,耳机
🎷,Saxophone,萨克斯管
🎸,Guitar,吉他
🎹,Musical Keyboard,音乐键盘
🎺,Trumpet,小号
🎻,Violin,小提琴
🥁,Drum,鼓
🎬,Clapper Board,挡板
🏹,Bow and Arrow,弓箭
