🚣, Person Rowing Boat, 人员划船
🗾, Map of Japan, 日本地图
🏔, Snow-Capped Mountain, 雪山
⛰, Mountain, 山地
🌋, Volcano, 火山
🗻, Mount Fuji, 富士山
🏕, Camping, 露营
🏖, Beach with Umbrella, 带雨伞的海滩
🏜, Desert, 沙漠
🏝, Desert Island, 沙漠岛
🏞, National Park, 国家公园
🏟, Stadium, 体育场
🏛, Classical Building, 古典建筑
🏗, Building Construction, 建筑施工
🏘, Houses, 房屋
🏚, Derelict House, 废弃的房子
🏠, House, 房屋
🏡, House with Garden, 带花园的房子
🏢, Office Building, 写字楼
🏣, Japanese Post Office, 日本邮局
🏤, Post Office, 邮局
🏥, Hospital, 医院
🏦, Bank, 银行
🏨, Hotel, 宾馆
🏩, Love Hotel, 爱情酒店
🏪, Convenience Store, 便利店
🏫, School, 学校
🏬, Department Store, 百货公司
🏭, Factory, 工厂
🏯, Japanese Castle, 日本城
🏰, Castle, 城堡
💒, Wedding, 婚礼
🗼, Tokyo Tower, 东京塔
🗽, Statue of Liberty, 自由女神像
⛪, Church, 教会
🕌, Mosque, 清真寺
🛕, Hindu Temple, 印度教寺庙
🕍, Synagogue, 犹太教堂
⛩, Shinto Shrine, 神社
🕋, Kaaba, 卡巴
⛲, Fountain, 噴泉
⛺, Tent, 帐篷
🌁, Foggy, 大雾
🌃, Night with Stars, 星空之夜
🏙, Cityscape, 城市景观
🌄, Sunrise Over Mountains, 日出山
🌅, Sunrise, 日出
🌆, Cityscape at Dusk, 黄昏的城市景观
🌇, Sunset, 夕阳
🌉, Bridge at Night, 桥在夜间
🎠, Carousel Horse, 旋转木马
🎡, Ferris Wheel, 摩天轮
🎢, Roller Coaster, 过山车
🚂, Locomotive, 机车
🚃, Railway Car, 铁路车
🚄, High-Speed Train, 高速列车
🚅, Bullet Train, 子弹列车
🚆, Train, 火车
🚇, Metro, 地铁
🚈, Light Rail, 轻轨
🚉, Station, 车站
🚊, Tram, 电车
🚝, Monorail, 单轨
🚞, Mountain Railway, 山地铁路
🚋, Tram Car, 电车
🚌, Bus, 巴士
🚍, Oncoming Bus, 进站巴士
🚎, Trolleybus, 无轨电车
🚐, Minibus, 小巴
🚑, Ambulance, 救护车
🚒, Fire Engine, 消防车
🚓, Police Car, 警车
🚔, Oncoming Police Car, 驶来的警车
🚕, Taxi, 出租车
🚖, Oncoming Taxi, 即将到来的出租车
🚗, Automobile, 汽车
🚘, Oncoming Automobile, 即将到来的汽车
🚚, Delivery Truck, 送货卡车
🚛, Articulated Lorry, 铰接式卡车
🚜, Tractor, 拖拉机
🏎, Racing Car, 赛车
🏍, Motorcycle, 摩托车
🛵, Motor Scooter, 摩托车
🛺, Auto Rickshaw, 汽车人力车
🚲, Bicycle, 自行车
🛴, Kick Scooter, 踏板车
🚏, Bus Stop, 巴士站
🛣, Motorway, 高速公路
🛤, Railway Track, 铁路轨道
⛽, Fuel Pump, 燃油泵
🚨, Police Car Light, 警车灯
🚥, Horizontal Traffic Light, 水平交通灯
🚦, Vertical Traffic Light, 垂直交通灯
🚧, Construction, 建筑业
⚓, Anchor, 锚
⛵, Sailboat, 帆船
🚤, Speedboat, 快艇
🛳, Passenger Ship, 客船
⛴, Ferry, 轮渡
🛥, Motor Boat, 机动船
🚢, Ship, 船舶
✈ ,Airplane,飞机
🛩, Small Airplane, 小飞机
🛫, Airplane Departure, 飞机起飞
🛬, Airplane Arrival, 飞机抵达
🪂, Parachute, 降落伞
💺, Seat, 座位
🚁, Helicopter, 直升机
🚟, Suspension Railway, 悬挂式铁路
🚠, Mountain Cableway, 山地索道
🚡, Aerial Tramway, 架空索道
🛰, Satellite, 卫星
🚀, Rocket, 火箭号
🛸, Flying Saucer, 飞碟
🪐, Ringed Planet, 环形星球
🌠, Shooting Star, 流星
🌌, Milky Way, 银河
⛱, Umbrella on Ground, 地面上的雨伞
🎆, Fireworks, 焰火
🎇, Sparkler, 火花枪
🎑, Moon Viewing Ceremony, 赏月仪式
💴, Yen Banknote, 日元纸币
💵, Dollar Banknote, 美元纸币
💶, Euro Banknote, 欧元纸币
💷, Pound Banknote, 英镑纸币
🗿, Moai, 摩艾
🛂, Passport Control, 护照检查
🛃, Customs, 海关
🛄, Baggage Claim, 行李领取
🛅, Left Luggage, 左侧行李箱
