🙈, See-No-Evil Monkey,听不到邪恶的猴子
🙊, Speak-No-Evil Monkey,说话不邪恶的猴子
💥, Collision,碰撞
💫, Dizzy,izzy
💦, Sweat Droplets,汗滴
💨, Dashing Away,潇洒走一回
🐵, Monkey Face,猴子脸
🐒, Monkey,猴子
🦍, Gorilla,大猩猩
🦧, Orangutan,猩猩
🐶, Dog Face,狗脸
🐕, Dog,犬
🦮, Guide Dog,导盲犬
🐕‍🦺, Service Dog,服务犬
🐩, Poodle,贵宾犬
🐺, Wolf,狼
🦊, Fox,狐狸
🦝, Raccoon,浣熊
🐱, Cat Face,猫的脸
🐈, Cat,貓
🦁, Lion,狮子
🐯, Tiger Face,虎脸
🐅, Tiger,虎牌
🐆, Leopard,豹子
🐴, Horse Face,马脸
🐎, Horse,马
🦄, Unicorn,独角兽
🦓, Zebra,斑马
🦌, Deer,鹿
🐮, Cow Face,牛脸
🐂, Ox,牛
🐃, Water Buffalo,水牛
🐄, Cow,牛
🐷, Pig Face,猪脸
🐖, Pig,猪
🐗, Boar,公猪
🐽, Pig Nose,猪鼻子
🐏, Ram,拉姆
🐑, Ewe,母牛
🐐, Goat,山羊
🐪, Camel,骆驼
🐫, Two-Hump Camel,双峰驼
🦙, Llama,喇嘛
🦒, Giraffe,长颈鹿
🐘, Elephant,大象
🦏, Rhinoceros,犀牛
🦛, Hippopotamus,河马
🐭, Mouse Face,鼠脸
🐁, Mouse,鼠标
🐀, Rat,鼠
🐹, Hamster,仓鼠
🐰, Rabbit Face,兔子脸
🐇, Rabbit,兔子
🐿, Chipmunk,花栗鼠
🦔, Hedgehog,刺猬
🦇, Bat,蝙蝠
🐻, Bear,熊
🐨, Koala,考拉
🐼, Panda,熊猫
🦥, Sloth,懒惰
🦦, Otter,獭
🦨, Skunk,臭鼬
🦘, Kangaroo,袋鼠
🦡, Badger,獾
🐾, Paw Prints,爪印
🦃, Turkey,土耳其
🐔, Chicken,鸡肉
🐓, Rooster,公鸡
🐣, Hatching Chick,孵化小鸡
🐤, Baby Chick,小鸡
🐥, Front-Facing Baby Chick,正面小鸡
🐦, Bird,鸟类
🐧, Penguin,企鹅号
🕊, Dove,鸽子
🦅, Eagle,鹰
🦆, Duck,鸭子
🦢, Swan,天鹅
🦉, Owl,猫头鹰
🦩, Flamingo,火烈鸟
🦚, Peacock,孔雀
🦜, Parrot,鹦鹉
🐸, Frog,青蛙
🐊, Crocodile,鳄鱼
🐢, Turtle,龟
🦎, Lizard,蜥蜴
🐍, Snake,蛇
🐲, Dragon Face,龙颜
🐉, Dragon,龙
🦕, Sauropod,蜥脚类
🦖, T-Rex,霸王龙
🐳, Spouting Whale,鲸鱼
🐋, Whale,鲸鱼
🐬, Dolphin,海豚
🐟, Fish,鱼类
🐠, Tropical Fish,热带鱼
🐡, Blowfish,河豚
🦈, Shark,鲨鱼
🐙, Octopus,八达通
🐚, Spiral Shell,螺旋壳
🐌, Snail,蜗牛
🦋, Butterfly,蝴蝶
🐛, Bug,虫子
🐜, Ant,蚂蚁
🐝, Honeybee,蜜蜂
🐞, Lady Beetle,甲虫夫人
🦗, Cricket,蟋蟀
🕷, Spider,蜘蛛人
🕸, Spider Web,蜘蛛网
🦂, Scorpion,蝎子
🦟, Mosquito,蚊子
🦠, Microbe,微生物
💐, Bouquet,花束
🌸, Cherry Blossom,樱花
💮, White Flower,白花
🏵, Rosette,玫瑰花
🌹, Rose,玫瑰
