😀, Grinning Face,笑脸
😃, Grinning Face with Big Eyes,大眼睛的笑脸
😄, Grinning Face with Smiling Eyes,笑脸与微笑的眼睛
😁, Beaming Face with Smiling Eyes,笑脸与微笑的眼睛
😆, Grinning Squinting Face,咧嘴眯眼的脸
😅, Grinning Face with Sweat,汗水的笑脸
🤣, Rolling on the Floor Laughing,滾在地上笑
😂, Face with Tears of Joy,欢乐的泪水的脸
🙂, Slightly Smiling Face,微微的笑脸
🙃, Upside-Down Face,颠倒的脸
😉, Winking Face,眨眼脸
😊, Smiling Face with Smiling Eyes,笑脸与微笑的眼睛
😇, Smiling Face with Halo,笑脸与光环
🥰, Smiling Face with Hearts,笑脸与心
😍, Smiling Face with Heart-Eyes,笑脸与心眼
🤩, Star-Struck,撞星
😘, Face Blowing a Kiss,脸吹吻
😗, Kissing Face,吻脸
😚, Kissing Face with Closed Eyes,闭眼吻脸
😙, Kissing Face with Smiling Eyes,吻脸与微笑的眼睛
😋, Face Savoring Food,养颜食品
😛, Face with Tongue,舌头的脸
😜, Winking Face with Tongue,眨眼与舌头的脸
🤪, Zany Face,Zany Face
😝, Squinting Face with Tongue,舌尖上的眯眯脸
🤑, Money-Mouth Face,钱嘴脸
🤗, Hugging Face,抱抱脸
🤭, Face with Hand Over Mouth,手捂嘴的脸
🤫, Shushing Face,噓噓臉
🤔, Thinking Face,思考的脸
🤐, Zipper-Mouth Face,拉链嘴脸
🤨, Face with Raised Eyebrow,眉毛上扬的脸
😐, Neutral Face,中性脸
😑, Expressionless Face,无表情的脸
😶, Face Without Mouth,无嘴的脸
😏, Smirking Face,笑脸
😒, Unamused Face,不高兴的脸
🙄, Face with Rolling Eyes,脸部与滚动的眼睛
😬, Grimacing Face,龇牙咧嘴
🤥, Lying Face,撒谎的脸
😌, Relieved Face,松弛的脸
😔, Pensive Face,愁眉苦脸
😪, Sleepy Face,瞌睡脸
🤤, Drooling Face,流口水的脸
😴, Sleeping Face,睡觉的脸
😷, Face with Medical Mask,脸部带医用口罩
🤒, Face with Thermometer,带温度计的脸
🤕, Face with Head-Bandage,脸部带头巾
🤢, Nauseated Face,恶心的脸
🤮, Face Vomiting,脸部呕吐
🤧, Sneezing Face,打喷嚏的脸
🥵, Hot Face,辣妹子
🥶, Cold Face,冷面
🥴, Woozy Face,糊涂脸
😵, Dizzy Face,眩晕的脸
🤯, Exploding Head,爆炸头
🤠, Cowboy Hat Face,牛仔帽脸
🥳, Partying Face,派对脸
😎, Smiling Face with Sunglasses,笑脸与太阳镜
🤓, Nerd Face,书呆子脸
🧐, Face with Monocle,脸上带着单片眼镜
😕, Confused Face,糊涂脸
😟, Worried Face,担心的脸
🙁, Slightly Frowning Face,微微皱眉的脸
😮, Face with Open Mouth,张嘴的脸
😯, Hushed Face,羞涩的脸
😲, Astonished Face,惊讶的脸
😳, Flushed Face,脸色红润
🥺, Pleading Face,恳切的表情
😦, Frowning Face with Open Mouth,张嘴皱眉的脸
😧, Anguished Face,痛苦的脸
😨, Fearful Face,恐惧的脸
😰, Anxious Face with Sweat,焦虑的脸与汗水
😥, Sad but Relieved Face,悲伤而欣慰的脸
😢, Crying Face,哭泣的脸
😭, Loudly Crying Face,大声哭泣的脸
😱, Face Screaming in Fear,恐惧中的脸部尖叫
😖, Confounded Face,糊涂脸
😣, Persevering Face,坚毅的面孔
😞, Disappointed Face,失望的脸
