🏁, Chequered Flag,方格旗
🚩, Triangular Flag,三角旗
🎌, Crossed Flags,交叉的旗帜
🏴, Black Flag,黑旗
🏳, White Flag,白旗
🏳️‍🌈, Rainbow Flag,彩虹旗
🏳️‍⚧️, Transgender Flag,变性人旗帜
🏴‍☠️, Pirate Flag,海盗旗
🇦🇨, Flag: Ascension Island,旗帜。阿森松岛
🇦🇩, Flag: Andorra,旗帜: 安道尔
🇦🇪, Flag: United Arab Emirates,旗帜： 阿拉伯联合酋长国
🇦🇫, Flag: Afghanistan,旗帜： 阿富汗
🇦🇬, Flag: Antigua & Barbuda,旗帜：安提瓜和巴布达 安提瓜和巴布达
🇦🇮, Flag: Anguilla,旗帜： 安圭拉
🇦🇱, Flag: Albania,旗帜： 阿尔巴尼亚
🇦🇲, Flag: Armenia,旗帜： 亚美尼亚
🇦🇴, Flag: Angola,旗帜： 安哥拉
🇦🇶, Flag: Antarctica,旗帜： 南极洲
🇦🇷, Flag: Argentina,旗帜： 阿根廷
🇦🇸, Flag: American Samoa,旗帜： 美属萨摩亚
🇦🇹, Flag: Austria,旗帜： 奥地利
🇦🇺, Flag: Australia,旗帜 澳大利亚
🇦🇼, Flag: Aruba,旗帜 阿鲁巴
🇦🇽, Flag: Åland Islands,旗帜：奥兰群岛 奥兰群岛
🇦🇿, Flag: Azerbaijan,旗帜： 阿塞拜疆
🇧🇦, Flag: Bosnia & Herzegovina,旗帜：波斯尼亚和黑塞哥维那
🇧🇧, Flag: Barbados,旗帜：巴巴多斯
🇧🇩, Flag: Bangladesh,旗帜：孟加拉国
🇧🇪, Flag: Belgium,旗帜：比利时
🇧🇫, Flag: Burkina Faso,旗帜：布基纳法索
🇧🇬, Flag: Bulgaria,旗帜：保加利亚
🇧🇭, Flag: Bahrain,旗帜：巴林
🇧🇮, Flag: Burundi,旗帜：布隆迪
🇧🇯, Flag: Benin,旗帜：贝宁
🇧🇱, Flag: St. Barthélemy,旗帜：圣巴泰勒米
🇧🇲, Flag: Bermuda,旗帜：百慕大
🇧🇳, Flag: Brunei,旗帜：文莱
🇧🇴, Flag: Bolivia,旗帜：玻利维亚
🇧🇶, Flag: Caribbean Netherlands,旗帜： 荷兰加勒比地区
🇧🇷, Flag: Brazil,旗帜：巴西
🇧🇸, Flag: Bahamas,旗帜：巴哈马
🇧🇹, Flag: Bhutan,旗帜：不丹
🇧🇻, Flag: Bouvet Island,旗帜：布维岛
🇧🇼, Flag: Botswana,旗帜：博茨瓦纳
🇧🇾, Flag: Belarus,旗帜：白俄罗斯
🇧🇿, Flag: Belize,旗帜：伯利兹
🇨🇦, Flag: Canada,旗帜： 加拿大
🇨🇨, Flag: Cocos (Keeling) Islands,旗帜：科科斯（基林）群岛 科科斯（基林
🇨🇩, Flag: Congo - Kinshasa,旗帜： 刚果-金沙萨
🇨🇫, Flag: Central African Republic,旗帜： 中非共和国
🇨🇬, Flag: Congo - Brazzaville,旗帜：刚果-布拉柴维尔 刚果-布拉柴维尔
🇨🇭, Flag: Switzerland,旗帜：瑞士
🇨🇮, Flag: Côte d’Ivoire,旗帜： 科特迪瓦
🇨🇰, Flag: Cook Islands,旗帜。库克群岛
🇨🇱, Flag: Chile,旗帜： 智利
🇨🇲, Flag: Cameroon,旗帜： 喀麦隆
🇨🇳, Flag: China,旗帜 中国
🇨🇴, Flag: Colombia,旗帜： 哥伦比亚
🇨🇵, Flag: Clipperton Island,旗帜。Clipperton岛
🇨🇷, Flag: Costa Rica,旗帜： 哥斯达黎加
🇨🇺, Flag: Cuba,旗帜： 古巴
🇨🇻, Flag: Cape Verde,旗帜： 佛得角
🇨🇼, Flag: Curaçao,旗帜：库拉索岛 库拉索岛
🇨🇽, Flag: Christmas Island,旗帜。圣诞岛
🇨🇾, Flag: Cyprus,旗帜： 塞浦路斯
🇨🇿, Flag: Czechia,旗帜： 捷克
🇩🇪, Flag: Germany,旗帜 德国
🇩🇬, Flag: Diego Garcia,旗帜： Diego Garcia
🇩🇯, Flag: Djibouti,旗帜： 吉布提
🇩🇰, Flag: Denmark,旗帜： 丹麦
🇩🇲, Flag: Dominica,旗帜 多米尼克
🇩🇴, Flag: Dominican Republic,旗帜： 多米尼加共和国
🇩🇿, Flag: Algeria,旗帜： 阿尔及利亚
🇪🇦, Flag: Ceuta & Melilla,旗帜：休达和梅利利亚 休达和梅利利亚
🇪🇨, Flag: Ecuador,旗帜：厄瓜多尔
🇪🇪, Flag: Estonia,旗帜：爱沙尼亚
🇪🇬, Flag: Egypt,旗帜：埃及
🇪🇭, Flag: Western Sahara,旗帜： 西撒哈拉
🇪🇷, Flag: Eritrea,旗帜：厄立特里亚
🇪🇸, Flag: Spain,旗帜：西班牙
🇪🇹, Flag: Ethiopia,旗帜：埃塞俄比亚
🇪🇺, Flag: European Union,旗帜：欧洲联盟
🇫🇮, Flag: Finland,旗帜: 芬兰
🇫🇯, Flag: Fiji,旗帜： 斐济
🇫🇰, Flag: Falkland Islands,旗帜： 福克兰群岛
🇫🇲, Flag: Micronesia,旗帜 密克罗尼西亚
🇫🇴, Flag: Faroe Islands,旗帜: 法罗群岛
🇫🇷, Flag: France,旗帜 法国
🇬🇦, Flag: Gabon,旗帜： 加蓬
🇬🇧, Flag: United Kingdom,旗帜。联合王国
🇬🇩, Flag: Grenada,旗帜： 格林纳达
🇬🇪, Flag: Georgia,旗帜： 格鲁吉亚
🇬🇫, Flag: French Guiana,旗帜： 法属圭亚那
🇬🇬, Flag: Guernsey,旗帜： 格恩西岛
🇬🇭, Flag: Ghana,旗帜： 加纳
🇬🇮, Flag: Gibraltar,旗帜： 直布罗陀
🇬🇱, Flag: Greenland,旗帜： 格陵兰
🇬🇲, Flag: Gambia,旗帜： 冈比亚
🇬🇳, Flag: Guinea,旗帜： 几内亚
