💌, Love Letter,情书
🕳, Hole,洞
💣, Bomb,炸弹
🛀, Person Taking Bath,洗澡的人
🛌, Person in Bed,床上的人
🔪, Kitchen Knife,厨刀
🏺, Amphora,圆形花坛
🗺, World Map,世界地图
🧭, Compass,指南针
🧱, Brick,砖头
💈, Barber Pole,理发杆
🦽, Manual Wheelchair,手动轮椅
🦼, Motorized Wheelchair,电动轮椅
🛢, Oil Drum,油桶
🛎, Bellhop Bell,钟点工
🧳, Luggage,行李
⌛, Hourglass Done,沙漏
⏳, Hourglass Not Done,未完成的沙漏
⌚, Watch,观察
⏰, Alarm Clock,闹钟
⏱, Stopwatch,秒表
⏲, Timer Clock,定时器时钟
🕰, Mantelpiece Clock,壁炉钟
🌡, Thermometer,温度计
⛱, Umbrella on Ground,地面上的雨伞
🧨, Firecracker,鞭炮
🎈, Balloon,气球
🎉, Party Popper,派对爆米花
🎊, Confetti Ball,彩纸球
🎎, Japanese Dolls,日本娃娃
🎏, Carp Streamer,鲤鱼流
🎐, Wind Chime,风铃
🧧, Red Envelope,红色信封
🎀, Ribbon,丝带
🎁, Wrapped Gift,包装礼品
🤿, Diving Mask,潜水面罩
🪀, Yo-Yo,呦呦
🪁, Kite,风筝
🔮, Crystal Ball,水晶球
🧿, Nazar Amulet,纳扎尔护身符
🕹, Joystick,操纵杆
🧸, Teddy Bear,泰迪熊
🖼, Framed Picture,框画
🧵, Thread,主题
🧶, Yarn,纱线
🛍, Shopping Bags,购物袋
📿, Prayer Beads,祈祷珠
💎, Gem Stone,宝石
📯, Postal Horn,邮政号角
🎙, Studio Microphone,演播室麦克风
🎚, Level Slider,水平滑块
🎛, Control Knobs,控制旋钮
📻, Radio,无线电
🪕, Banjo,班卓琴
📱, Mobile Phone,移动电话
📲, Mobile Phone with Arrow,带箭头的手机
☎ ,Telephone,电话
📞, Telephone Receiver,电话接收机
📟, Pager,呼叫器
📠, Fax Machine,传真机
🔋, Battery,蓄电池
🔌, Electric Plug,电插头
💻, Laptop,笔记本电脑
🖥, Desktop Computer,台式电脑
🖨, Printer,打印机
⌨ ,Keyboard,键盘
🖱, Computer Mouse,电脑鼠标
🖲, Trackball,轨迹球
💽, Computer Disk,计算机磁盘
💾, Floppy Disk,软盘
💿, Optical Disk,光盘
📀, DVD,DVD
🧮, Abacus,算盘
