🍇, Grapes,葡萄
🍈, Melon,瓜类
🍉, Watermelon,西瓜
🍊, Tangerine,橘子
🍋, Lemon,柠檬
🍌, Banana,香蕉
🍍, Pineapple,菠萝
🥭, Mango,芒果
🍎, Red Apple,红苹果
🍏, Green Apple,青苹果
🍐, Pear,梨
🍑, Peach,桃子
🍒, Cherries,樱桃
🍓, Strawberry,士多啤梨
🥝, Kiwi Fruit,奇异果
🍅, Tomato,番茄
🥥, Coconut,椰子
🥑, Avocado,牛油果
🍆, Eggplant,茄子
🥔, Potato,马铃薯
🥕, Carrot,胡萝卜
🌽, Ear of Corn,玉米穗
🌶, Hot Pepper,辣椒
🥒, Cucumber,小黄瓜
🥬, Leafy Green,叶状绿
🥦, Broccoli,西兰花
🧄, Garlic,蒜头
🧅, Onion,洋葱
🍄, Mushroom,菇类
🥜, Peanuts,花生
🌰, Chestnut,栗木
🍞, Bread,麵包
🥐, Croissant,牛角包
🥖, Baguette Bread,法棍面包
🥨, Pretzel,椒盐卷饼
🥯, Bagel,百吉饼
🥞, Pancakes,煎饼
🧇, Waffle,华夫饼
🧀, Cheese Wedge,芝士楔
🍖, Meat on Bone,骨头肉
🍗, Poultry Leg,禽腿
🥩, Cut of Meat,切肉
🥓, Bacon,培根
🍔, Hamburger,汉堡包
🍟, French Fries,薯条
🍕, Pizza,披萨
🌭, Hot Dog,热狗
🥪, Sandwich,三明治
🌮, Taco,塔可
🌯, Burrito,卷饼
🥙, Stuffed Flatbread,馅饼
🧆, Falafel,法拉菲
🍳, Cooking,烹饪
🥘, Shallow Pan of Food,淺盤食物
🍲, Pot of Food,罐装食品
🥣, Bowl with Spoon,碗与勺子
🥗, Green Salad,绿色沙拉
🍿, Popcorn,爆米花
🧈, Butter,黄油
🧂, Salt,鹽
🥫, Canned Food,罐头食品
🍱, Bento Box,便当盒
🍘, Rice Cracker,米饼
🍙, Rice Ball,饭团
🍚, Cooked Rice,煮饭
🍛, Curry Rice,咖喱饭
🍜, Steaming Bowl,清蒸碗
🍝, Spaghetti,意大利面条
🍠, Roasted Sweet Potato,烤红薯
🍢, Oden,奥登
🍣, Sushi,寿司
🍤, Fried Shrimp,炒虾
🍥, Fish Cake with Swirl,漩涡鱼饼
🥮, Moon Cake,月饼
🍡, Dango,丹哥
🥟, Dumpling,饺子
🥠, Fortune Cookie,财富饼干
🥡, Takeout Box,外卖盒
🦪, Oyster,牡蛎
🍦, Soft Ice Cream,软冰淇淋
🍧, Shaved Ice,刨冰
🍨, Ice Cream,冰淇淋
🍩, Doughnut,甜甜圈
🍪, Cookie,饼干
🎂, Birthday Cake,生日蛋糕
🍰, Shortcake,酥饼
🧁, Cupcake,纸杯蛋糕
🥧, Pie,馅饼
🍫, Chocolate Bar,巧克力棒
🍬, Candy,糖果
🍭, Lollipop,棒棒糖
🍮, Custard,奶油
🍯, Honey Pot,蜂蜜罐
🍼, Baby Bottle,婴儿奶瓶
🥛, Glass of Milk,一杯牛奶
☕, Hot Beverage,热饮
🍵, Teacup Without Handle,无柄茶杯
🍶, Sake,清酒
🍾, Bottle with Popping Cork,带软木塞的瓶子
🍷, Wine Glass,酒杯
🍸, Cocktail Glass,鸡尾酒杯
🍹, Tropical Drink,热带饮料
🍺, Beer Mug,啤酒杯
🍻, Clinking Beer Mugs,叮叮当当的啤酒杯
🥂, Clinking Glasses,碰杯
🥃, Tumbler Glass,玻璃杯
🥤, Cup with Straw,带吸管的杯子
🧃, Beverage Box,饮料盒
🧉, Mate,伴侣
🧊, Ice,冰块
🥢, Chopsticks,筷子
🍽, Fork and Knife with Plate,叉子和刀子，带盘子
🍴, Fork and Knife,叉子和刀子
🥄, Spoon,勺子
