💘, Heart with Arrow,心与箭
💝, Heart with Ribbon,蝴蝶结的心
💖, Sparkling Heart,闪亮的心
💗, Growing Heart,成长的心
💓, Beating Heart,跳动的心
💞, Revolving Hearts,旋转的心
💕, Two Hearts,两颗心
💟, Heart Decoration,心形装饰
❣ ,Heart Exclamation,心脏感叹号
💔, Broken Heart,破碎的心
❤ ,Red Heart,红心
🧡, Orange Heart,橙心
💛, Yellow Heart,黄心
💚, Green Heart,绿心
💙, Blue Heart,蓝心
💜, Purple Heart,紫心
🤎, Brown Heart,棕心
🖤, Black Heart,黑心
🤍, White Heart,白色的心
💯, Hundred Points,百点
💢, Anger Symbol,愤怒的象征
💬, Speech Balloon,演讲气球
👁️‍🗨️, Eye in Speech Bubble,语音泡泡中的眼睛
🗨, Left Speech Bubble,左边的演讲泡
🗯, Right Anger Bubble,正确的愤怒泡沫
💭, Thought Balloon,思想气球
💤, Zzz,Zzz
💮, White Flower,白花
♨ ,Hot Springs,温泉
💈, Barber Pole,理发杆
🛑, Stop Sign,停車牌
🕛, Twelve O’Clock,十二点钟
🕧, Twelve-Thirty,十二点半
🕐, One O’Clock,一点钟
🕜, One-Thirty,1-30
🕑, Two O’Clock,两点钟方向
🕝, Two-Thirty,二点半
🕒, Three O’Clock,三点钟方向
🕞, Three-Thirty,三点半
🕓, Four O’Clock,四点钟
🕟, Four-Thirty,四点半
🕔, Five O’Clock,五点钟方向
🕠, Five-Thirty,五点半
🕕, Six O’Clock,六点钟方向
🕡, Six-Thirty,六点半
🕖, Seven O’Clock,七点钟方向
🕢, Seven-Thirty,七点半
🕗, Eight O’Clock,八点钟方向
🕣, Eight-Thirty,八点半
🕘, Nine O’Clock,九点钟
🕤, Nine-Thirty,九点半
🕙, Ten O’Clock,十点钟方向
🕥, Ten-Thirty,10-30
🕚, Eleven O’Clock,十一点钟
🕦, Eleven-Thirty,11-30
🌀, Cyclone,旋风
♠ ,Spade Suit,黑桃套装
♥ ,Heart Suit,心服
♦ ,Diamond Suit,钻石套装
♣ ,Club Suit,俱乐部套装
🃏, Joker,小丑
🀄, Mahjong Red Dragon,麻将红龙
🎴, Flower Playing Cards,花牌
🔇, Muted Speaker,静音扬声器
🔈, Speaker Low Volume,扬声器低音量
🔉, Speaker Medium Volume,扬声器中音量
🔊, Speaker High Volume,扬声器高音量
📢, Loudspeaker,扬声器
📣, Megaphone,扩音器
📯, Postal Horn,邮政号角
🔔, Bell,贝尔
